engineering science university,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,ORGANIZATION
experimentation keywords,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,PERSON
extended abstract first,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,PERSON
gerard salton award,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,ORGANIZATION
norbert fuhr faculty,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,PERSON
subject descriptor,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,PERSON
term theory,0,SIGIR 2012: Salton award lecture: information retrieval as engineering science,1,PERSON
abstract real,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,ORGANIZATION
averaged cg,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON,PERSON,PERSON
cumulated gain,1,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,ORGANIZATION
desktop pc,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON
heikki keskustalo,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON
information science,1,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,ORGANIZATION
query modification,1,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON,PERSON,PERSON
search engine we,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON
smart phone,1,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON,PERSON,ORGANIZATION
smart phone qm strategy s1 s2 s3 s4 s5 initial,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON
subject descriptor,0,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON
time frame,1,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,105,PERSON,PERSON,PERSON
abstract aggregating,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
aggregated search,1,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
aggregated search page,1,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
all page pair,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
amazon mechanical turk,1,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
asrbp metric agreement,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
assessment of,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
baseline metric,0,SIGIR 2012: Evaluating aggregated search pages,115,PERSON
document type image,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
examination model exam,0,SIGIR 2012: Evaluating aggregated search pages,115,ORGANIZATION
experimentation keywords,0,SIGIR 2012: Evaluating aggregated search pages,115,PERSON
glasgow glasgow,0,SIGIR 2012: Evaluating aggregated search pages,115,PERSON,PERSON
ireland galway,0,SIGIR 2012: Evaluating aggregated search pages,115,GPE
item selection,1,SIGIR 2012: Evaluating aggregated search pages,115,PERSON
jose university,0,SIGIR 2012: Evaluating aggregated search pages,115,PERSON
