information retrieval,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
new york,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
language model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
previous work,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
retrieval performance,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
information need,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
retrieval model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
test collection,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
experimental result,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
named entity,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
search task,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
computer science,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
query processing,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
statistically significant,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
information storage,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
search process,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
information system,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
model parameter,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
model based,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
information seeking,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
probabilistic model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
IR evaluation,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
specific model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
IR system,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
recent year,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
result using,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
retrieval result,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
existing method,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
special case,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
retrieval quality,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
two major,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
vast majority,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
far away,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
experimental study,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
ad-hoc retrieval,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
probability ranking principle,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
new type,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
completion time,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
vector space model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
build upon,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
method used,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
theoretic model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
existing model,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
collection used,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,0
parameter space,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
engineering science,SIGIR 2012: Salton award lecture: information retrieval as engineering science,326,1
information retrieval,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
search engine,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
search result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
data set,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
relevant document,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
research question,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
user behavior,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
test collection,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
experimental result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
search session,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
evaluation measure,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
least one,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
search task,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
evaluation metric,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
information search,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
user query,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
document collection,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
query result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
query length,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
information storage,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
retrieval system,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
query time,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
average precision,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
average number,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
mean average precision,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
previous section,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
search process,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
information system,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
two type,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
user interaction,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
next section,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
best result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
information source,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
user experience,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
new query,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
relevance assessment,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
query word,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
first step,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
information science,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
two query,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
query reformulation,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
user model,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
top document,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
result page,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
information seeking,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
evaluation result,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
IR evaluation,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
see table,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
result quality,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
graded relevance,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
information processing,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
language modeling,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
descending order,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,1
real user,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
american society,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
first query,SIGIR 2012: Time drives interaction: simulating sessions in diverse searching environments,327,0
